BVP,EDA,HR,TEMP,Tin,Rhin,TSV
-0.05,0.12,82.86,34.92,24.8,32.1,1
0.23,0.15,81.47,34.88,24.8,32.2,1
-0.13,0.2,83.42,34.91,24.9,32.2,1
-0.46,0.63,84.16,34.96,24.9,32.5,1
0.42,1.47,85.82,35.04,24.9,32,1
-0.46,1.66,87.58,35.08,24.9,31.6,1
0.49,1.04,85.54,35.15,25,31.8,1
-0.29,0.6,82.77,35.28,25,31.6,1
0.39,0.39,78.71,35.4,25,31.5,1
-0.09,0.3,77.56,35.5,25,31.4,1
-0.05,0.23,73.62,35.48,25,31.4,1
-0.56,0.17,85.03,35.39,25,31.5,1
1.03,0.12,92.35,35.32,25,31.4,1
-0.44,0.1,117.84,35.31,25,31.5,1
-0.01,0.07,98.87,35.22,25,31.3,1
-0.1,0.12,111.68,35.11,25,31.3,1
0.07,0.18,125.21,35.08,25.1,31.4,1
-0.03,0.22,96.64,34.91,25.1,31.3,1
0.07,0.22,81.7,34.82,25.1,31.3,1
0.09,0.28,84.62,35.09,25.1,31.3,1
-0.11,0.33,80.67,35.13,25.1,31.2,1
0.14,0.73,81.43,35.06,25.1,31.3,1
0.04,0.75,84.17,35.02,25.1,31.2,1
-0.19,0.58,81.3,34.99,25.2,31.2,1
-0.01,0.43,76.85,34.91,25.2,31.3,1
0.04,0.24,80.73,34.9,25.2,31.2,1
-0.8,0.25,78.47,35.04,25.2,31.2,1
0.29,0.32,78.24,35,25.2,31.5,1
0.86,0.36,77.15,34.87,25.2,31.3,1
-0.42,0.32,84.79,34.73,25.2,31.3,1
0.01,0.33,86.24,34.68,25.2,31.3,1
-0.23,0.41,84.83,34.39,25.2,31.3,1
0.62,0.44,77.24,34.3,25.2,31.2,1
-2.24,0.39,80.15,34.26,25.2,31.2,1
1.83,0.35,78.43,34.18,25.2,31.2,1
0.14,0.29,83.34,34.09,25.2,31.2,1
0.57,0.24,78.32,34.01,25.2,31.2,1
-0.65,0.18,79.65,33.88,25.2,31.2,1
0.19,0.17,81.01,33.75,25.2,31.2,1
-0.26,0.15,81.83,33.65,25.2,31.2,1
0.1,0.14,81.27,33.62,25.2,31.2,1
-0.65,0.2,84.35,33.67,25.2,31.1,1
0.68,0.18,87.27,33.74,25.2,31.1,1
0.09,0.16,80.27,33.76,25.1,31,1
-0.1,0.14,81.39,33.79,25.1,31,1
-0.63,0.13,84.41,33.77,25.1,31,1
0.42,0.13,85.25,33.75,25.1,31,1
0.34,0.13,84.46,33.74,25.1,31,1
-0.21,0.1,79.75,33.78,25.1,30.9,1
0.03,0.1,78.38,33.9,25.1,30.9,1
-1.18,0.1,74.52,33.89,25.1,30.9,1
1.51,0.12,83.53,33.76,25.1,30.9,1
-0.27,0.15,84.62,33.92,25.1,30.9,1
0.11,0.27,83.05,34,25.1,30.9,1
-0.55,0.27,85.54,34.01,25.1,30.9,1
-0.55,0.27,82.07,33.87,25.1,30.9,1
0.67,0.28,96.36,34.02,25.1,30.9,1
0.15,0.27,102.61,34.13,25.1,30.9,1
0.35,0.25,103.83,34.2,25.1,30.9,1
-0.26,0.44,79.35,34.32,25.1,30.9,1
-0.19,0.37,79.55,34.42,25.1,30.9,1
0.48,0.19,93.57,34.43,25.1,30.9,1
-0.08,0.16,99.6,34.42,25.1,30.9,1
0.15,0.14,85.89,34.38,25.1,31.1,1
-0.07,0.16,80.47,34.37,25.1,31.2,1
-0.67,0.17,104.06,34.4,25.1,31.3,1
0.33,0.23,130.84,34.41,25.1,31.4,1
-1.41,0.27,89.49,34.29,25.1,31.5,1
1.46,0.23,93.8,34.24,25.1,31.6,1
-1.05,0.44,115.76,34.29,25.1,31.6,1
-0.96,2.6,72.9,34.97,25.9,35.5,1
1.09,2.81,81.24,34.97,25.9,35.4,1
-0.18,2.67,91.5,34.85,26,35.2,1
-0.36,2.97,82.24,34.86,26,35.2,1
0.37,2.99,89.29,34.85,26,35.1,1
-0.17,2.87,82.97,34.79,26,35.2,1
0.39,2.46,86.59,35.04,26,35.1,1
-0.17,2.35,85.31,35.2,26,35.1,1
-0.26,2.06,83.72,35.36,26,34.9,1
0.29,1.49,85.56,35.48,26,34.8,1
-2.33,1.2,77.88,35.65,26.1,34.7,1
2.14,1.65,77.9,35.58,26.1,34.7,1
0,1.83,95.37,35.56,26.1,34.6,1
-0.78,1.85,120.66,35.49,26.1,34.6,1
0.89,1.9,104.67,35.42,26.1,34.5,1
-0.02,1.49,86.14,35.16,26.1,34.5,1
0.06,1.25,81.7,35.31,26.1,34.5,1
0.3,0.99,82.74,35.54,26.1,34.5,1
-0.34,0.79,91.62,35.68,26.1,34.5,1
0.36,0.7,104.59,35.83,26.1,34.4,1
-1.05,0.64,94.15,35.86,26.1,34.4,1
0.86,0.52,85.03,35.76,26.1,34.3,1
-0.64,0.5,86.04,35.73,26.1,34.5,1
0.59,1.03,85.85,35.76,26.1,34.5,1
-0.25,1.44,98.39,35.77,26.1,34.4,1
0.24,1.3,102.98,35.44,26.1,34.4,1
0.43,2.73,84.45,35.07,26.1,34.5,1
-0.93,3.09,83.85,35.43,26.1,34.8,1
0.71,3.2,86.18,35.61,26.1,34.6,1
