BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.1,1.6,78.62,35.18,24.1,35.7,1
0.12,1.9,80.59,35.24,24,35.5,1
-0.49,2.11,86.99,35.24,24,35.7,1
0.41,2.13,105.55,35.17,24,35.6,1
0.07,1.85,79.16,35.11,23.9,35.7,1
-0.03,1.64,75.99,35.11,23.9,35.7,1
-1.16,1.32,74.8,35.14,24,35.7,1
4.1,1.46,74.08,35.1,24,35.7,1
0.26,3.33,77.62,34.78,24.4,36,1
-0.16,3.42,78.66,34.74,24.4,36.1,1
-0.28,3.47,77.1,34.71,24.4,36,1
0.16,3.82,80.03,34.7,24.4,36,1
0.16,3.84,79.91,34.7,24.4,36,1
-0.5,4.02,79.73,34.7,24.5,36.2,1
0.47,4.1,80.65,34.7,24.5,36,1
-0.77,3.77,80.1,34.69,24.5,36,1
0.3,3.46,86.62,34.63,24.5,36.1,1
0.58,3.29,92.56,34.65,24.5,35.9,1
0.07,1,84.84,34.75,23.6,20.9,1
-0.13,1.19,83,34.66,23.7,20.2,1
0.16,1.17,83.61,34.69,23.7,20.2,1
-0.54,1.39,83.72,34.93,23.7,19.8,1
0.5,1.5,82.24,35.11,23.7,20.1,1
-0.1,1.79,81.8,35.14,23.7,20.1,1
0.22,1.87,81.53,35.21,23.8,21.3,1
-0.16,1.84,78.83,35.24,23.8,20.2,1
-0.13,1.9,83.17,35.2,23.8,19.7,1
0.1,2.15,84.19,35.16,23.8,20.2,1
0.27,2.24,81.48,35.1,23.9,20.1,1
-0.27,2.23,81.55,35.07,23.9,20,1
0.01,2.05,81.75,35.12,23.9,20.1,1
0.35,2.36,77.17,35.23,24,20.1,1
-0.42,2.58,75.95,35.22,24,20.1,1
-0.07,2.31,85.97,35.18,24,20,1
-0.01,2.25,85.84,35.17,24.1,20,1
0.33,2.32,76.17,35.23,24.1,19.9,1
-0.21,2.46,74.86,35.25,24.1,19.9,1
-0.07,2.36,81.83,35.11,24.2,19.8,1
0.18,2.54,82.52,35.09,24.2,19.8,1
-0.11,2.39,76.78,35.34,24.3,20.5,1
0.08,2.3,75.93,35.4,24.3,19.8,1
0.5,2.43,74.17,35.5,24.3,19.8,1
-0.58,2.55,74.5,35.63,24.3,19.8,1
0.09,2.48,74.47,35.7,24.4,19.5,1
-0.4,2.54,76.22,35.65,24.4,19.6,1
0.02,2.51,76.6,35.62,24.4,19.6,1
0.12,2.81,73.9,35.49,24.4,19.7,1
0.67,3,76.77,35.25,24.4,19.4,1
-0.21,3,79.1,35.22,24.4,19.5,1
-0.25,2.86,77.62,35.25,24.4,19.4,1
0,2.83,79.31,35.33,24.4,19.4,1
-0.09,2.83,77.79,35.44,24.4,19.8,1
0.23,2.94,78.14,35.16,24.4,19.2,1
1.16,2.81,79.88,34.82,24.5,19.3,1
-0.77,2.15,87.58,34.18,24.4,18.9,1
-0.46,2.06,74.62,33.59,24.4,19.2,1
-0.14,2.18,75.81,33.83,24.4,19.2,1
0.06,2.26,76.48,33.95,24.4,19.2,1
-0.25,2.56,85.96,33.69,24.5,19.1,1
0.15,2.4,90.81,33.29,24.5,19.2,1
-0.69,2.21,108.53,32.87,24.5,19.2,1
0.46,2.16,95.18,32.35,24.5,19.2,1
2.1,2.18,74.25,31.75,24.5,18.8,1
0.28,2.31,63.81,31.45,24.5,19,1
-1.77,1.97,75.57,31.24,24.6,19,1
-1.04,2.23,97.36,30.99,24.6,19,1
0.89,2.2,87.78,30.88,24.6,19,1
0.72,2.13,90.06,30.81,24.6,18.9,1
-0.36,1.86,99.36,30.82,24.7,18.6,1
-0.37,2.19,89.09,30.92,24.7,18.8,1
-1.47,2.04,72.47,31.11,24.7,18.7,1
1.31,2.11,100.61,31.32,24.7,17.6,1
0.07,1.79,108.45,32.09,24.8,17.6,1
-0.1,1.91,90.9,32.07,24.8,17.1,1
0.05,1.61,106.65,32.28,24.8,17.2,1
0.04,1.82,112.64,32.51,24.8,17,1
-0.62,1.71,96.96,32.52,24.8,17.8,1
-1.25,1.78,75.21,32.42,24.8,17.9,1
1.87,1.9,72.04,32.61,24.9,17.8,1
-0.11,1.88,77.62,32.44,24.9,18,1
-0.7,1.62,82.94,32.78,24.9,18.2,1
0.76,1.71,81.02,33.1,25,18.2,1
0.07,1.69,77.89,33.44,25,18.3,1
0.22,1.58,85.69,33.63,25,18.3,1
0,1.49,88.71,33.34,25.1,18.2,1
-0.21,1.26,111.76,33.75,25.1,18,1
1.03,1.02,109.71,34.03,25.1,18.1,1
0.07,0.99,86.29,34.17,25.2,18.2,1
-2.25,1,78.97,34.06,25.2,19.8,1
-0.14,1.36,76.92,33.8,25.1,19.9,1
1.41,1.64,70.4,33.18,24.9,19.9,1
-1.02,1.91,68.8,32.69,24.9,18.6,1
0.82,0.88,77.09,31.81,24.8,19.5,1
-0.03,1.15,79.98,31.85,24.8,19.5,1
-0.02,1.36,82.08,32.07,24.7,19.7,1
-0.06,1.45,81.02,32.29,24.7,19.2,0
0.17,1.49,78.75,32.56,24.7,19,0
-0.01,1.64,72.33,32.81,24.6,18.7,0
0.05,1.83,79.71,32.88,24.6,19.1,0
-2.33,1.76,82.6,32.87,24.6,19.3,0
1.26,1.53,78.76,32.79,24.6,19.3,0
-0.83,1.77,81.64,32.78,24.6,19.2,0
