BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.04,9.06,90.81,35.52,28.7,62.7,1
0.17,9.02,89.18,35.57,28.7,62.8,1
0.07,8.57,92.13,35.57,28.7,62.6,1
0.05,9.42,89.96,35.55,28.7,62.7,1
0.05,10.68,90.41,35.58,28.7,62.7,1
-0.19,10.64,86.66,35.56,28.7,62.9,1
0.02,10.51,87.47,35.52,28.7,62.7,1
0.11,10.67,87.36,35.57,28.7,62.9,1
-0.06,10.41,91.64,35.65,28.7,62.8,1
-0.3,9.03,97.16,35.67,28.7,62.8,1
0.34,6.58,121.97,35.69,28.7,62.9,1
0.03,6.92,114.34,35.74,28.7,63,1
-0.25,7.21,93.66,35.74,28.7,60.4,1
0.39,6.88,96.95,35.7,28.6,58.1,1
0.2,6.57,115.06,35.64,28.6,56.7,0
-0.26,6.41,108.04,35.64,28.5,55.4,0
-0.83,6.15,103.13,35.66,28.4,54.4,0
0.66,5.84,99.98,35.69,28.4,53.4,0
0.04,5.64,99.65,35.68,28.3,52.8,0
-0.05,5.39,102.01,35.64,28.2,51.8,0
0.1,5.07,103.49,35.59,28.2,51.3,0
-0.31,4.48,98.15,35.55,28.1,50.4,0
0.16,4.82,90.82,35.55,28,50.5,0
-0.13,4.9,89.7,35.46,27.9,48.8,0
0.26,4.91,90.54,35.35,27.8,48.3,0
0.02,4.81,92.83,35.27,27.8,47.7,0
0.05,4.75,91.83,35.21,27.7,47,0
0.74,4.51,91.28,35.26,27.6,46.2,0
-0.65,4.13,81.14,35.38,27.5,45.5,0
-0.11,4.72,87.4,35.45,27.5,44.7,0
-0.15,4.45,101.32,34.57,27.4,43.6,0
-0.28,5.18,95.67,35.16,27.3,42.5,0
0.53,2.72,83.07,34.84,27.2,41.8,0
-0.38,3.44,87.11,35.18,27.1,41.1,0
0.19,3.4,96.03,35.27,27,40.9,0
-0.12,3.81,94.21,35.25,27,40.4,0
0.18,4.38,93.08,35.2,26.9,39.8,0
-0.05,3.87,85.44,35.16,26.8,39.4,0
-0.13,3.71,87.68,35.13,26.7,39.1,0
0.16,2.33,81.73,35.11,26.6,38.4,0
-0.04,2.01,88.5,35.11,26.5,38.2,0
0,1.65,88.46,35.16,26.5,37.7,0
-0.17,1.6,91.05,35.21,26.4,37.4,0
-0.05,1.59,94.29,35.18,26.3,37.1,0
-0.07,1.53,87.59,35.15,26.2,36.5,0
0.17,1.34,88.15,35.12,26.1,36.3,0
0.19,1.38,86.08,35.09,26.1,36.1,0
-1.66,1.78,86.6,35.02,26,35.9,0
1.63,2.16,91.37,34.96,25.9,35.8,0
0.03,2.4,89.86,34.95,25.9,35.4,0
-0.08,2.22,91.56,34.96,25.8,35.5,0
-0.98,2.74,82.88,34.97,25.7,35.6,0
0.9,3.05,93.29,34.93,25.7,35.6,0
-0.09,2.1,87.08,34.69,25.6,35.4,0
-0.08,2,85.77,34.77,25.6,35.3,0
0.64,2.09,91.22,34.82,25.5,35.1,0
-0.39,1.99,97.84,34.85,25.5,35.2,0
0,1.92,83.84,34.87,25.4,35.1,0
-0.02,2.15,89.67,34.86,25.4,34.9,0
-0.11,1.84,83.67,34.83,25.3,34.3,0
0.07,1.63,84.68,34.72,25.2,34.1,0
0.09,1.65,87.39,34.66,25.1,33.8,0
-0.06,1.68,84.95,34.68,25,34,0
0.12,1.65,87.14,34.73,24.9,34.1,0
-0.02,1.65,87.5,34.77,24.9,34.1,0
-0.2,1.66,93,34.77,24.8,33.9,0
0.11,1.65,92.8,34.79,24.7,34,0
-0.02,1.65,93.5,34.8,24.7,34.2,-1
0.21,1.63,89.22,34.76,24.6,34.3,-1
-0.15,1.61,82.83,34.67,24.6,34.4,-1
-0.06,1.63,84.24,34.65,24.5,34.4,-1
0.06,1.63,89.44,34.64,24.5,34.4,-1
0.22,1.65,89.06,34.65,24.5,34.3,-1
-0.18,1.67,102.06,34.72,24.4,34.3,-1
-0.12,1.74,88.76,34.75,24.4,34.5,-1
0.02,1.74,86.82,34.77,24.4,34.5,-1
