Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.27,23.9,37,26.5,57.2,997.8,1.3,278.6,0.04,-2.6,-20.2,4.4239999999999995
0.26,23.9,37,26.5,56.3,997.8,0.9,291.2,0.03,-2.6,-19.3,7.079
0.26,23.9,37,26.3,55.0,997.8,1.3,349.1,0.03,-2.4,-18.0,12.978
0.27,23.8,37,26.2,54.8,997.8,1.0,307.2,0.03,-2.4,-17.8,4.718999999999999
0.27,23.8,37,26.1,55.4,997.8,0.2,275.5,0.03,-2.3,-18.4,23.302
0.28,23.8,37,26.0,55.7,997.8,0.5,96.6,0.04,-2.2,-18.7,11.503
0.26,23.8,37,26.1,56.6,997.8,0.8,284.9,0.05,-2.3,-19.6,9.439
0.26,23.7,37,26.1,57.2,997.8,1.2,304.0,0.02,-2.4,-20.2,8.259
0.27,23.8,37,26.1,57.5,997.8,1.7,240.4,0.03,-2.3,-20.5,15.633
0.3,23.7,37,26.1,57.6,997.8,2.6,303.6,0.03,-2.4,-20.6,9.439
0.26,23.7,37,26.0,58.0,997.8,2.3,259.9,0.02,-2.3,-21.0,17.698
0.26,24.9,36,26.0,58.5,997.8,2.6,274.6,0.03,-1.1,-22.5,3.54
0.26,24.9,36,26.0,58.3,997.8,2.0,254.8,0.02,-1.1,-22.3,20.352
0.26,24.9,36,26.0,59.0,997.8,2.3,251.9,0.03,-1.1,-23.0,3.54
0.27,23.9,37,26.0,58.6,997.7,2.3,257.5,0.02,-2.1,-21.6,9.734
0.25,23.9,37,26.0,58.7,997.7,1.5,296.8,0.03,-2.1,-21.7,2.655
0.26,23.9,37,25.9,58.9,997.7,0.9,250.6,0.03,-2.0,-21.9,2.065
0.25,23.9,37,26.0,59.3,997.7,1.1,300.6,0.03,-2.1,-22.3,3.245
0.25,23.9,37,26.0,58.7,997.7,1.6,308.6,0.03,-2.1,-21.7,6.784
0.25,23.9,37,26.0,58.2,997.7,3.1,284.8,0.06,-2.1,-21.2,11.208
0.27,23.9,37,25.9,57.9,997.7,2.4,278.4,0.05,-2.0,-20.9,20.057000000000002
0.25,23.9,37,26.0,58.4,997.7,1.5,253.7,0.07,-2.1,-21.4,7.9639999999999995
0.24,23.9,37,26.1,59.0,997.7,1.7,266.6,0.08,-2.2,-22.0,7.079
