Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.003,26.4,62,26.5,67,1015.0,0.0,16,0.01266,-0.1,-5,0.1656
0.006,26.5,62,26.6,67,1014.9,0.0,16,0.0127158,-0.1,-5,0.0144
0.002,26.4,62,26.6,67,1015.1,0.0,18,0.0127344,-0.2,-5,0.2016
0.002,26.5,62,26.7,67,1015.1,0.0,18,0.0127086,-0.2,-5,0.1944
0.004,26.4,62,26.8,66,1015.0,0.0,17,0.012629999999999999,-0.4,-4,0.0
0.006999999999999999,26.5,62,26.7,66,1015.0,0.0,16,0.012499799999999998,-0.2,-4,0.0576
0.008,26.5,62,26.6,67,1014.9,0.39,295,0.0124116,-0.1,-5,0.18
0.013999999999999999,26.4,62,26.5,67,1014.9,0.0,295,0.0123468,-0.1,-5,0.2664
0.009000000000000001,26.5,62,26.4,67,1015.0,0.0,295,0.012397799999999999,0.1,-5,0.0648
0.004,26.5,61,26.7,66,1015.2,0.0,295,0.012495000000000001,-0.2,-5,0.0216
0.008,26.5,61,26.8,66,1015.1,0.0,295,0.012588,-0.3,-5,0.0504
0.009000000000000001,26.5,61,26.7,66,1015.0,0.0,314,0.0127014,-0.2,-5,0.1152
0.013000000000000001,26.5,61,26.8,66,1014.8,0.0,313,0.012804,-0.3,-5,0.2448
0.006999999999999999,26.5,61,26.8,66,1014.9,0.0,312,0.0128826,-0.3,-5,0.0576
0.006,26.4,61,26.8,66,1015.0,0.0,312,0.0129222,-0.4,-5,0.07200000000000001
0.011000000000000001,26.5,61,26.9,66,1015.0,0.0,339,0.012963599999999999,-0.4,-5,0.1872
0.006,26.5,61,26.8,66,1014.9,0.0,338,0.012978,-0.3,-5,0.0216
0.006,26.5,61,26.9,66,1014.9,0.0,339,0.0129894,-0.4,-5,0.0
0.006999999999999999,26.5,61,27.0,66,1014.8,0.0,339,0.013000799999999998,-0.5,-5,0.0432
0.004,26.5,61,27.0,66,1014.9,0.0,338,0.013008,-0.5,-5,0.0648
0.003,26.5,61,26.8,66,1014.7,0.0,252,0.0129894,-0.3,-5,0.0576
0.004,26.5,61,26.5,67,1014.7,0.81,269,0.012928799999999999,0.0,-6,0.0648
0.002,26.5,61,26.3,68,1014.7,1.0,268,0.012871200000000001,0.2,-7,0.1512
0.005,26.5,61,26.1,68,1014.6,0.61,266,0.012808199999999999,0.4,-7,0.0
0.002,26.5,61,26.0,68,1014.7,0.11,270,0.0127572,0.5,-7,0.0936
0.008,26.5,61,26.2,68,1014.6,0.0,270,0.0127134,0.3,-7,0.0288
0.006999999999999999,26.5,61,26.4,68,1014.7,0.0,270,0.012662399999999999,0.1,-7,0.0216
0.006999999999999999,26.5,61,26.5,67,1014.8,0.0,270,0.012567,0.0,-6,0.0072
0.006,26.5,61,26.5,68,1014.8,0.0,270,0.0124788,0.0,-7,0.0
